Título:;ACTIVIDADES FORMATIVAS CEP;;;;;;
Autor:;Aplicación Séneca, CONSEJERÍA DE EDUCACIÓN Y DEPORTE, Junta de Andalucía;;;;;;
Fecha de creación:;26/05/2020 - 08:53;;;;;;
;;;;;;;
Centro;Código;Título;Modalidad;Estado;Fecha inicio;Fecha fin;Dirigido a
29200026-CEP Marbella - Coín;202923GES951;PRIMEROS AUXILIOS EN URGENCIAS MÁS FRECUENTES EN UN CENTRO EDUCATIVO (ZONA CALA DE MIJAS-FUENGIROLA);Curso con Seguimiento;Terminada;02/10/2019;29/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES952;JORNADAS SOBRE BUENAS PRÁCTICAS EN EL ÁREA DE MÚSICA;Curso con Seguimiento;Terminada;09/10/2019;20/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES953;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE EN EL ÁMBITO EDUCATIVO NIVEL I. CEIP INDIRA GHANDI;Curso con Seguimiento;Suspendida;25/09/2019;20/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES954;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE EN EL ÁMBITO EDUCATIVO NIVEL I. CEIP TAMIXA;Curso con Seguimiento;Actividad en desarrollo;09/10/2019;29/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES955;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE EN EL ÁMBITO EDUCATIVO NIVEL I. CEIP SAN SEBASTIÁN;Curso con Seguimiento;Actividad en desarrollo;02/10/2019;13/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES956;ACTUALIZACIÓN EN BIBLIOWEB 2 PARA RESPONSABLES Y EQUIPOS DE APOYO;Curso con Seguimiento;Terminada;22/10/2019;22/10/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES957;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE EN EL ÁMBITO EDUCATIVO. CEIP JARDÍN BOTÁNICO;Curso con Seguimiento;Actividad en desarrollo;06/11/2019;13/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES958;HERRAMIENTAS DE COACHING Y PNL APLICADAS A LA EDUCACIÓN MUSICAL;Curso con Seguimiento;Suspendida;07/11/2019;17/12/2019;Enseñanzas de regimen especial
29200026-CEP Marbella - Coín;202923GES959;CUADERNO DEL PROFESOR CON SÉNECA E ISÉNECA (ZONA MIJAS COSTA);Curso con Seguimiento;Suspendida;15/04/2020;31/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES960;PROPUESTAS DE TRABAJO A TRAVÉS DEL PATRIMONIO HISTÓRICO;Curso con Seguimiento;Suspendida;05/02/2020;21/05/2020;Internivelar
